,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
4824,5.0,5.03826233854561,active,intermediate
4858,5.0,5.277121501630503,active,intermediate
4865,6.2839966563652006,5.763824174226172,inactive,intermediate
4886,4.920818753952375,5.361930260441049,active,intermediate
4890,5.886056647693163,6.2925152307927865,intermediate,inactive
4900,5.886056647693163,6.480167555070326,intermediate,inactive
4906,4.698970004336019,5.033609594418311,active,intermediate
4909,4.958607314841775,5.097360102143378,active,intermediate
4911,5.0,5.027223050903391,active,intermediate
4912,4.978810700930062,5.100586391540464,active,intermediate
4915,4.935542010773082,5.096228068508989,active,intermediate
4917,5.0,5.0144476198114525,active,intermediate
4918,4.935542010773082,5.427965926669531,active,intermediate
4920,5.0,5.025433789346673,active,intermediate
4921,5.0,5.122241158388161,active,intermediate
4922,5.0,5.0024778540138914,active,intermediate
4923,5.0,5.104594579890335,active,intermediate
4924,5.0,5.141416773329934,active,intermediate
4925,5.0,5.110399928977647,active,intermediate
4953,5.0,5.378820875385596,active,intermediate
4954,5.0,5.066647030582303,active,intermediate
4955,5.0,5.362774310982798,active,intermediate
4956,5.0,5.146834807923222,active,intermediate
4961,5.0,5.421546704067635,active,intermediate
4962,5.0,5.03024160929914,active,intermediate
4963,5.309803919971486,6.071987332659843,intermediate,inactive
4969,6.070581074285707,5.902630684033942,inactive,intermediate
4972,6.142667503568732,5.985099211624213,inactive,intermediate
4987,6.045757490560675,5.875397618758882,inactive,intermediate
4989,4.823908740944319,5.006295091309723,active,intermediate
4996,6.1249387366083,5.989493175380514,inactive,intermediate
5001,5.950781977329818,6.001214678773041,intermediate,inactive
5012,6.060480747381382,5.9632988056181855,inactive,intermediate
5032,5.0,5.20118184620999,active,intermediate
5036,5.0,5.209986463829877,active,intermediate
5038,5.0,5.219779169312824,active,intermediate
5040,5.0,5.273228025862931,active,intermediate
5041,4.809668301829708,5.032640049812098,active,intermediate
5043,4.928117992693875,5.006458016012905,active,intermediate
5046,4.999132278468773,5.142889715330788,active,intermediate
5101,6.292429823902063,5.915513087707999,inactive,intermediate
5105,5.0,5.0882686182555,active,intermediate
5108,5.0,5.07203880893748,active,intermediate
